拼音,汉字
a,啊阿腌呵锕吖嗄
ai,爱挨哀碍嗌隘暧嫒艾蔼矮癌唉埃哎瑷锿诶砹霭皑
an,安案按暗氨岸埯俺铵鹌庵鞍桉胺桉揞黯谙
ang,昂盎肮
ao,傲懊袄熬翱拗澳奥坳獒嗷遨凹敖廒鳌骜螯岙嚣媪
ba,把坝八爸吧巴拔疤跋叭霸耙扒罢捌芭岜靶笆粑钯魃茇灞
bai,白败百掰拜摆柏佰伯捭稗呗
ban,班办伴半斑瓣板般版扮搬颁扳绊拌坂阪钣舨瘢癍
bang,榜帮邦棒膀磅蚌镑谤绑梆傍蒡浜
bao,报抱宝保包堡暴苞饱胞鲍薄剥爆煲饱刨炮龅雹褓葆褒豹趵鸨
bei,辈被备背贝北悲杯倍陂埤焙碑卑碚蓓邶褙臂呗狈钡萆悖鹎惫鞴鐾
ben,本奔笨苯贲锛坌夯畚
beng,蹦崩迸泵绷甭嘣蚌甏
bi,比壁必笔毕闭避鼻币弊彼辟碧敝鄙逼臂匕毙秕妣吡庇毖陛篦蓖秘铋滗濞璧襞畀裨婢俾髀庳痹弼蔽贲边笾扁编遍鳊褊煸蝙碥匾辩辨辫弁卞汴忭苄便鞭缏变贬砭窆
bian,边鞭便编变遍辫卞扁辩匾贬
biao,标表镖骠鳔裱婊膘彪瘭勺杓髟飙镳飑
bie,别鳖憋瘪蹩
bin,缤髌鬓殡濒斌彬滨宾膑傧槟镔摈豳玢
bing,并兵冰病饼摒禀秉炳柄丙屏邴
bo,搏播勃伯博菠泊脖驳玻波拨渤鹁跛簸铂舶柏箔博膊薄趵帛擘檗钹钵踣卜亳般
bu,不布补部步哺簿埠怖捕卜钚钸卟晡埔逋醭瓿
ca,擦嚓礤拆
cai,财采彩才菜材猜踩蔡睬裁
can,璨惭参餐灿残蚕惨骖掺粲
cang,藏舱沧苍仓伧
cao,草操嘈曹糙槽漕螬艚
ce,策册厕测侧恻
cen,参
ceng,层蹭曾噌
cha,差查察茶楂岔衩碴搽茬插杈叉槎喳馇猹锸嚓镲檫汊诧姹刹
chai,豺柴钗拆差虿侪
chan,产阐蝉颤忏铲缠潺馋谗婵搀掺单禅孱骣冁冁镡蟾谄躔廛澶蒇羼觇
chang,长昌唱场畅常倡尝厂怅敞偿肠猖伥苌娼鲳阊菖倘徜惝氅嫦裳昶鬯
chao,嘲抄超炒朝潮钞吵耖巢剿绰焯晁怊
che,澈彻车撤掣扯砗尺坼
chen,沉称陈晨尘趁衬碜辰臣琛抻秤谌忱橙郴宸榇嗔龀伧谶
cheng,程成承诚城乘撑骋澄秤逞惩呈丞铛噌铖蛏柽称埕裎珵盛橙枨瞠酲塍
chi,耻持吃尺池迟翅赤匙坻斥齿驰痴弛哧踟叱炽豉蚩嗤媸茌墀鸱侈眵傺螭魑篪褫啻笞敕饬
chong,充虫冲崇宠种忡茺重憧艟涌舂铳
chou,抽筹愁酬仇惆臭瞅丑畴帱俦踌绸稠雠瘳
chu,出楚触处础初除矗褚储锄厨雏黜绌刍蜍滁憷楮躇橱蹰怵畜搐樗杵
chuai,踹揣啜嘬搋膪
chuan,传穿川喘串船钏遄椽舛氚舡
chuang,创床幢窗闯疮怆
chui,吹垂槌锤捶炊陲棰椎
chun,春纯醇蠢鹑淳唇椿蝽莼
chuo,绰辍龊戳焯踔啜
ci,此次词辞慈刺赐磁瓷雌祠茨疵伺兹鹚糍差
cong,丛从匆聪葱淙苁枞琮囱璁骢
cou,凑凑腠辏楱
cu,促粗簇醋猝殂徂酢蹴蹙
cuan,篡窜蹿撺镩攒汆爨
cui,璀脆翠粹淬啐萃摧催崔隹悴瘁衰榱毳
cun,存村寸忖蹲皴
cuo,挫错措撮矬蹉搓厝锉脞嵯瘥鹾磋
da,答大打达搭瘩哒鞑嗒沓褡耷疸妲怛靼笪
dai,代待带怠袋戴黛贷殆傣逮歹呆玳岱甙埭绐骀迨绐呔
dan,但弹担单蛋丹耽胆淡诞氮旦眈掸殚惮郸瘅箪疸啖赕儋澹石萏聃
dang,党当档荡挡裆铛谠砀宕菪凼
dao,到道倒导蹈刀祷叨稻悼盗捣岛忉焘帱氘纛
de,的得德锝地
dei,得
deng,等邓蹬登灯瞪凳澄嶝噔簦镫磴戥
di,地第底递低帝敌迪滴砥谛翟缔弟抵嘀涤笛堤蒂碲绨娣睇氐坻诋柢骶羝提镝嫡邸狄荻棣的嶂觌籴
dian,点电店殿淀典巅惦佃奠垫踮碘颠掂坫玷靛癜甸滇癫钿簟皲堤岸
diao,调掉雕凋钓吊貂碉叼刁鲷铞铫鸟
die,跌叠蝶喋碟牒谍爹蹀鲽揲堞迭耋瓞垤
ding,定顶丁叮锭订鼎钉盯腚碇啶仃町酊玎耵疔铤
diu,丢铥
dong,东动懂栋冬咚冻洞董胨岽鸫胴峒硐侗恫垌氡
dou,斗豆抖痘逗陡蚪兜都篼蔸窦读
du,都肚读度顿督堵独毒妒渡睹镀杜赌渎嘟牍犊椟黩嘟笃蠹黢髑芏
duan,锻段断端短煅缎椴簖
dui,对队堆碓兑怼敦镦憝
dun,敦囤遁盾钝炖盹蹲墩吨顿砘沌礅镦趸
duo,多夺朵躲惰堕舵垛掇哆驮跺铎剁哚柁度踱咄裰缍沲
e,而儿二恩尔耳恶鹅饵噩遏鄂饿扼厄额娥俄讹锷鳄鹗萼谔腭愕颚峨蛾哦锇莪阿婀屙垩苊轭呃阏
en,恩摁蒽
er,贰二而鸸鲕尔迩儿耳洱饵铒珥佴
fa,发法乏罚筏阀伐砝珐垡
fan,繁范反犯饭凡泛烦番翻帆贩返矾畈钒梵藩幡燔蹯蕃樊蘩
fang,方放房防芳访妨仿纺坊邡舫枋钫肪鲂钫彷
fei,非费匪废飞肺沸妃痱翡诽肥啡狒镄狒淝菲扉腓榧悱鲱绯篚斐蜚霏吠芾
fen,奋分粉份纷芬氛愤粪忿焚汾坟酚玢吩鼢棼态鲼偾瀵
feng,蜂丰风奉锋封峰俸凤讽缝逢烽疯砜枫葑沣冯唪酆
fo,佛
fou,否缶
fu,福付复覆负父富夫辅服腐腑扶浮符幅副伏腹肤佛赴府脯咐缚傅赋妇附俯抚釜斧辐俘袱茯拂芙敷孵麸蝠匐讣蚨呋趺蚨蝮鳆馥鲋驸跗苻孚莩郛桴拊蜉稃阜滏甫黼赙弗砩怫绋艴氟绂绂祓黻黻涪罘芾疠凫菔幞
ga,尬嘎旮噶伽咖胳轧钆尕尜夹
gai,该改概盖钙溉丐赅陔垓芥戤
gan,干感敢尴甘赶肝赣擀秆柑泔竿矸杆酐橄澉坩旰绀苷疳乾淦
gang,钢岗刚纲杠冈戆港罡缸肛扛筻
gao,告高稿糕搞锆诰镐睾羔篙膏皋缟槁藁郜杲槔
ge,歌个各戈格哥割隔仡蛤葛阁革鸽搁胳疙圪铬硌骼袼咯虼纥屹鬲镉嗝膈塥哿舸盖合搿颌
gei,给
gen,根跟艮茛哏亘
geng,更庚耕颈耿梗哽埂羹绠鲠赓
gong,贡共公工供功宫拱巩恭躬弓攻珙红汞龚觥蚣肱
gou,够苟沟购勾垢构狗篝枸佝钩句笱岣诟觏鞲媾遘缑彀
gu,故古股辜孤固姑顾鼓谷骨估梏雇箍沽咕钴鸪蛄诂牯酤罟菇轱锢鲴崮痼嘏鹄鹘臌觚呱菰贾汩蛊瞽毂汨
gua,瓜挂褂卦寡剐刮呱诖胍括鸹
guai,拐怪乖掴
guan,关管观惯馆贯灌莞罐鳏冠棺倌官涫掼纶鹳盥矜
guang ,广犷光咣胱桄逛
gui,贵规柜归瑰龟桂鬼闺轨跪刽癸诡硅圭妫鲑傀炔炅獬庋宄匦刿簋桧晷皈鳜
gun,滚棍辊磙衮绲鲧
guo,国过果椁裹帼聒蝈郭锅掴猓蜾呙涡埚虢崞馘
ha,哈蛤铪虾
hai,孩还海害骇亥骸氦咳嗨嘿醢胲
han,汗罕憾函寒汉喊含悍撼涵瀚翰焊捍旱韩憨酣鼾蚶邯焓犴邗顸撖阚颔菡晗
hang,航杭夯行珩绗吭沆巷颃
hao,号好毫浩豪皓耗郝嚎壕嗥蚝蒿昊濠貉颢嚆镐薅
he,和河合核何喝鹤盒呵荷壑赫褐贺貉阖禾诃蚵嗬菏颌劾阂曷涸吓纥盍翮
hei,黑嘿嗨
hen,很恨狠痕
heng,恒哼横衡亨行珩桁蘅
hong,弘红哄鸿洪宏虹烘轰讧荭闳泓訇蕻黉薨疫
hou,后候厚吼猴喉侯逅骺堠糇篌瘊後鲎
hu,户虎护湖互乎忽胡糊蝴呼唬沪浒琥壶葫弧狐囫戽扈瑚鹕煳醐猢滹轷烀瓠笏惚唿核鹄祜怙岵和鹱斛槲冱戏鹘觳
hua,话华花化划哗画滑桦猾骅铧豁砉
huai,怀坏槐淮徊踝划
huan,欢环换幻患缓圜浣宦焕涣唤寰獾还擐缳奂痪漶桓洹郇锾鲩逭鬟豢萑
huang,皇黄谎荒煌幌晃恍潢惶徨遑凰慌蟥璜磺簧癀湟蝗隍鳇篁肓
hui,会灰回悔诲汇挥荟慧绘恢毁辉哕惠秽彗贿晦讳烩卉茴徽晖诙匹桧浍洄蛔徊珲蟪蕙咴溃缋麾堕喙虺恚隳
hun,魂混昏婚馄浑荤阍珲诨溷
huo,活火货或获伙祸惑藿霍豁后钬和嚯攉夥劐镬蠖耠锪
ji,技纪击己继极计记及给绩积机即级基际几集籍迹季急叽济激挤饥寄脊剂肌棘既嫉疾寂荠亟稽冀鲫稷祭暨悸妓伎忌戟藉瘠辑蒺吉汲跻缉姬唧畸犄鸡芨圾讥矶玑虮圾笈岌齐霁哜鲚佶诘咭髻系芰屐箕蓟奇掎跽楫骥嵴期嵇羁麂戢蕺革其殛洎觊笄齑偈赍乩丌墼剞畿系际季悸剂迹既暨继寄祭寂绩稷鲫冀
jia,家加价佳假架稼嫁颊伽驾贾钾甲夹嘉枷镓珈跏笳茄痂袈迦嘏瘕葭胛岬郏蛱铗浃荚戛袷恝
jian,建见检间件键健简践兼俭坚鉴荐毽尖渐艰涧减监肩箭捡剪溅剑贱饯舰碱柬茧拣缄煎菅歼奸笺戋腱踺楗犍锏裥枧笕缣搛蒹鹣硷睑槛蹇翦湔谫鞯谏浅謇戬僭鲣囝趼牮
jiang,讲江将奖降浆犟酱匠蒋疆僵姜豇虹茳桨强糨洚绛缰礓耩
iiao,交较胶皎敫蛟绞郊姣跤饺佼狡铰校鲛茭侥浇叫教脚缴徼角焦礁醮噍鹪僬蕉觉搅矫娇轿骄挢峤窖椒嚼剿艽湫纟酵
jie,戒界结介捷解接节杰届桔洁阶借姐截揭街劫诫芥竭睫拮桀秸皆孑疖诘鲒喈楷婕羯偈碣价蚧疥骱藉家颉嗟讦
jin,仅近今金进津浸谨尽劲巾紧斤禁晋妗靳锦襟筋烬赆荩缙衿矜噤堇瑾槿馑廑卺觐
jing,精景经敬径净竞静境惊睛晶京阱镜竟荆警靖痉儆井兢旌茎獍泾劲刭颈弪迳肼腈婧靓菁憬鲸粳
jiong,炯窘迥扃炅
jiu,就久纠疚救九旧韭酒究舅咎臼灸玖揪阄赳僦蹴柩啾鬏桕鹫鸠厩
ju,巨句举据具局菊聚距惧炬剧居咀趄俱拒矩橘鞠掬锯驹拘椐踞倨琚裾柜钜讵苣榘枸锔犋飓榉且雎龃沮狙苴疽遽踽瞿醵莒屦窭鞫桔车
juan,卷捐涓眷倦绢鹃娟锩圈桊狷隽镌俊鄄蠲
jue,决绝觉珏崛镢厥掘倔抉诀觖孓角桷爵嚼爝劂撅蕨橛噘蹶獗矍谲噱攫脚嗟
jun,军均浚郡竣骏峻俊菌君钧筠皲捃龟麇隽
ka,卡咯咔喀咖胩佧
kai,开凯慨忾楷揩锎恺铠垲剀锴蒈
kan,看刊堪瞰侃砍坎勘嵌莰槛阚龛戡
kang,康抗炕伉亢扛糠慷钪闶
kao,考靠犒铐烤拷栲尻
ke,科课可颗刻克棵客磕苛渴壳嗑恪咳瞌稞蝌柯坷珂轲蚵钶岢疴氪髁锞骒窠颏溘缂
kei,克
ken,肯恳垦啃龈裉
keng,铿吭坑
kong,空恐孔控崆倥箜
kou,口蔻寇扣叩抠筘眍芤
ku,苦库哭枯酷裤窟骷堀绔刳喾
kua,垮夸跨胯挎侉
kuai,快块筷脍会浍郐侩狯哙蒯
kuan,宽款髋
kuang,况旷眶框矿诳狂筐哐诓匡邝纩圹贶夼
kui,愧喹溃亏馈匮傀睽葵魁馗逵奎窥盔跬蝰隗夔揆愦聩篑蒉喟悝暌岿
kun,困昆捆坤悃阃琨锟鲲醌髡
kuo,括扩阔廓蛞栝适
la,啦腊蓝拉蜡喇辣旯垃砬落剌邋瘌
lai,来赖癞睐莱铼徕崃涞赉濑籁
lan,懒览篮斓烂兰滥缆揽褴澜阑婪岚栏拦蓝榄谰镧漤罱
lang,浪朗琅狼螂榔廊郎啷锒稂阆莨蒗
lao,劳老牢姥烙涝酪佬醪痨唠捞栳铑崂耢铹络落潦
le,了乐勒肋叻仂泐鳓
lei,类累泪雷嘞磊垒擂蕾镭檑嫘缧勒肋羸耒诔酹儡
leng,冷愣棱塄楞
